Date,Description,Amount,Note,Account,Opposing Account
2025-08-18,Weekly grocery shopping,-85.50,Person 1 did the shopping,Joint Checking,Grocery Store
2025-08-18,Morning coffee and pastry,-12.50,Person 2 coffee run,Joint Checking,Restaurant  
2025-08-18,Monthly rent payment,-1250.00,Shared housing expense,Joint Checking,Utilities Company
2025-08-18,Electricity bill,-135.50,Utility bill for the month,Joint Checking,Utilities Company
2025-08-18,Date night dinner,-89.25,Anniversary dinner,Joint Checking,Restaurant
2025-08-19,Person 1 salary deposit,3500.00,Monthly salary,Joint Checking,Salary Income
2025-08-19,Person 2 freelance payment,750.00,Freelance project payment,Joint Checking,Salary Income
2025-08-19,Gas station fill-up,-45.00,Person 1 filled up the car,Joint Checking,Gas Station
2025-08-19,Online shopping delivery,-67.99,Person 2 Amazon order,Joint Checking,Grocery Store
2025-08-19,Pharmacy pickup,-34.50,Prescription medications,Joint Checking,Grocery Store
